CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 0.203125 1724701878.2559
MEM 36.640625 1724701878.3610
MEM 53.625000 1724701878.4656
MEM 61.968750 1724701878.5703
MEM 67.203125 1724701878.6777
MEM 81.484375 1724701878.7821
MEM 82.734375 1724701878.8823
MEM 100.531250 1724701878.9874
MEM 129.906250 1724701879.0925
MEM 160.406250 1724701879.1975
MEM 173.281250 1724701879.2990
MEM 183.421875 1724701879.4040
MEM 192.250000 1724701879.5092
MEM 203.859375 1724701879.6143
MEM 216.109375 1724701879.7156
MEM 221.437500 1724701879.8171
MEM 225.593750 1724701879.9222
MEM 230.343750 1724701880.0273
MEM 230.343750 1724701880.1323
MEM 230.343750 1724701880.2374
MEM 232.406250 1724701880.3425
MEM 240.921875 1724701880.4476
MEM 288.859375 1724701880.5528
MEM 386.390625 1724701880.6580
MEM 541.859375 1724701880.7588
MEM 702.843750 1724701880.8640
MEM 834.968750 1724701880.9691
MEM 834.968750 1724701881.0742
MEM 834.968750 1724701881.1792
MEM 834.968750 1724701881.2813
MEM 834.968750 1724701881.3864
MEM 1079.953125 1724701881.4916
MEM 1079.953125 1724701881.5968
MEM 1079.953125 1724701881.7020
MEM 1079.953125 1724701881.8072
MEM 1080.296875 1724701881.9125
MEM 1080.343750 1724701882.0168
MEM 1080.343750 1724701882.1223
MEM 1080.343750 1724701882.2275
MEM 1080.343750 1724701882.3389
MEM 653.828125 1724701882.4441
MEM 805.859375 1724701882.5493
MEM 962.359375 1724701882.6544
MEM 1081.468750 1724701882.7596
MEM 1081.468750 1724701882.8648
MEM 1081.468750 1724701882.9699
MEM 1081.468750 1724701883.0747
MEM 1081.468750 1724701883.1777
MEM 1325.625000 1724701883.2830
MEM 1325.625000 1724701883.3882
MEM 1325.625000 1724701883.4935
MEM 1325.625000 1724701883.5989
MEM 1325.656250 1724701883.7040
MEM 1325.656250 1724701883.8101
MEM 1325.656250 1724701883.9120
MEM 1325.656250 1724701884.0174
MEM 1325.671875 1724701884.1229
MEM 350.546875 1724701884.2279
MEM 359.750000 1724701884.3331
MEM 374.296875 1724701884.4382
MEM 384.593750 1724701884.5432
MEM 392.203125 1724701884.6483
MEM 1162.046875 1724701884.7536
MEM 4679.156250 1724701884.8588
MEM 8072.843750 1724701884.9640
MEM 8206.859375 1724701885.0691
MEM 8206.859375 1724701885.1744
MEM 8206.859375 1724701885.2759
MEM 8108.171875 1724701885.3774
MEM 7985.015625 1724701885.4810
MEM 7985.015625 1724701885.5892
MEM 7985.015625 1724701885.6932
MEM 7984.968750 1724701885.7937
MEM 7984.968750 1724701885.8988
MEM 7869.218750 1724701886.1056
MEM 7865.937500 1724701886.2211
MEM 7866.484375 1724701886.3264
MEM 89.156250 1724701886.4316
MEM 99.171875 1724701886.5368
MEM 99.171875 1724701886.6421
MEM 102.843750 1724701886.7475
MEM 109.125000 1724701886.8526
MEM 132.531250 1724701886.9578
MEM 166.328125 1724701887.0629
MEM 197.234375 1724701887.1680
MEM 199.828125 1724701887.2732
MEM 204.406250 1724701887.3783
MEM 208.343750 1724701887.4834
MEM 208.375000 1724701887.5886
MEM 208.390625 1724701887.6937
MEM 212.234375 1724701887.7988
MEM 212.281250 1724701887.8991
MEM 212.281250 1724701888.0030
MEM 216.109375 1724701888.1081
MEM 266.812500 1724701888.2132
MEM 269.718750 1724701888.3157
MEM 269.718750 1724701888.4208
MEM 269.718750 1724701888.5259
MEM 269.796875 1724701888.6310
MEM 269.796875 1724701888.7361
MEM 269.796875 1724701888.8412
MEM 269.796875 1724701888.9463
MEM 282.375000 1724701889.0528
MEM 282.359375 1724701889.1579
MEM 282.359375 1724701889.2630
MEM 282.359375 1724701889.3681
MEM 282.359375 1724701889.4733
MEM 282.375000 1724701889.5784
MEM 286.203125 1724701889.6788
MEM 286.218750 1724701889.7839
MEM 286.218750 1724701889.8890
MEM 286.218750 1724701889.9941
MEM 286.218750 1724701890.0992
MEM 286.218750 1724701890.2043
MEM 286.296875 1724701890.3094
MEM 286.312500 1724701890.4145
MEM 286.328125 1724701890.5196
MEM 286.343750 1724701890.6247
MEM 286.359375 1724701890.7298
MEM 286.375000 1724701890.8349
MEM 286.375000 1724701890.9400
MEM 286.375000 1724701891.0451
MEM 290.203125 1724701891.1502
MEM 290.265625 1724701891.2553
MEM 290.265625 1724701891.3604
MEM 290.265625 1724701891.4655
MEM 290.281250 1724701891.5706
MEM 290.281250 1724701891.6758
MEM 290.281250 1724701891.7809
MEM 290.281250 1724701891.8860
MEM 290.296875 1724701891.9911
MEM 290.296875 1724701892.0962
MEM 290.296875 1724701892.2014
MEM 290.296875 1724701892.3065
MEM 290.312500 1724701892.4116
MEM 290.328125 1724701892.5167
MEM 290.343750 1724701892.6218
MEM 290.375000 1724701892.7241
MEM 290.390625 1724701892.8292
MEM 290.406250 1724701892.9309
MEM 290.406250 1724701893.0360
MEM 290.406250 1724701893.1411
MEM 290.406250 1724701893.2462
MEM 290.406250 1724701893.3513
MEM 290.421875 1724701893.4564
MEM 290.421875 1724701893.5615
MEM 290.421875 1724701893.6666
MEM 290.437500 1724701893.7716
MEM 290.437500 1724701893.8767
MEM 290.437500 1724701893.9809
MEM 290.437500 1724701894.0860
MEM 290.437500 1724701894.1911
MEM 290.437500 1724701894.2962
MEM 290.437500 1724701894.4014
MEM 290.468750 1724701894.5062
MEM 290.468750 1724701894.6112
MEM 290.468750 1724701894.7163
MEM 290.468750 1724701894.8193
MEM 290.468750 1724701894.9241
MEM 290.468750 1724701895.0293
MEM 290.468750 1724701895.1299
MEM 290.468750 1724701895.2351
MEM 290.468750 1724701895.3396
MEM 290.468750 1724701895.4447
MEM 290.468750 1724701895.5498
MEM 290.468750 1724701895.6549
MEM 290.484375 1724701895.7600
MEM 290.484375 1724701895.8651
MEM 290.484375 1724701895.9703
MEM 290.484375 1724701896.0754
MEM 290.500000 1724701896.1805
MEM 290.500000 1724701896.2856
MEM 290.515625 1724701896.3907
MEM 290.531250 1724701896.4958
MEM 290.531250 1724701896.6009
MEM 290.531250 1724701896.7060
MEM 290.531250 1724701896.8112
MEM 290.531250 1724701896.9163
MEM 290.531250 1724701897.0214
MEM 290.531250 1724701897.1265
MEM 290.531250 1724701897.2316
MEM 290.531250 1724701897.3339
MEM 290.531250 1724701897.4390
MEM 290.531250 1724701897.5441
MEM 290.531250 1724701897.6493
MEM 290.546875 1724701897.7543
MEM 290.546875 1724701897.8594
MEM 290.546875 1724701897.9645
MEM 290.546875 1724701898.0696
MEM 290.546875 1724701898.1747
MEM 290.562500 1724701898.2798
MEM 290.562500 1724701898.3811
MEM 290.562500 1724701898.4861
MEM 290.625000 1724701898.5912
MEM 290.625000 1724701898.6963
MEM 290.625000 1724701898.8014
MEM 290.640625 1724701898.9046
MEM 290.656250 1724701899.0097
MEM 290.656250 1724701899.1148
MEM 290.656250 1724701899.2200
MEM 290.656250 1724701899.3251
MEM 290.656250 1724701899.4302
MEM 290.656250 1724701899.5353
MEM 290.656250 1724701899.6404
MEM 290.656250 1724701899.7455
MEM 290.656250 1724701899.8506
MEM 290.656250 1724701899.9557
MEM 290.718750 1724701900.0608
MEM 290.718750 1724701900.1660
MEM 290.718750 1724701900.2711
MEM 290.718750 1724701900.3762
MEM 290.718750 1724701900.4813
MEM 290.734375 1724701900.5864
MEM 290.734375 1724701900.6915
MEM 290.750000 1724701900.7966
MEM 290.750000 1724701900.9018
MEM 290.750000 1724701901.0069
MEM 290.765625 1724701901.1120
MEM 290.765625 1724701901.2171
MEM 290.765625 1724701901.3223
MEM 290.765625 1724701901.4274
MEM 290.765625 1724701901.5325
MEM 290.781250 1724701901.6343
MEM 290.781250 1724701901.7394
MEM 290.781250 1724701901.8445
MEM 290.781250 1724701901.9496
MEM 290.781250 1724701902.0547
MEM 290.781250 1724701902.1598
MEM 290.781250 1724701902.2620
MEM 290.781250 1724701902.3671
MEM 290.781250 1724701902.4722
MEM 290.781250 1724701902.5773
MEM 290.781250 1724701902.6824
MEM 290.781250 1724701902.7875
MEM 290.812500 1724701902.8926
MEM 290.812500 1724701902.9977
MEM 290.812500 1724701903.1028
MEM 290.828125 1724701903.2079
MEM 290.828125 1724701903.3130
MEM 290.828125 1724701903.4181
MEM 290.843750 1724701903.5231
MEM 290.843750 1724701903.6282
MEM 290.843750 1724701903.7333
MEM 290.843750 1724701903.8384
MEM 290.843750 1724701903.9435
MEM 290.843750 1724701904.0486
MEM 290.843750 1724701904.1537
MEM 290.859375 1724701904.2588
MEM 290.890625 1724701904.3637
MEM 290.890625 1724701904.4688
MEM 290.890625 1724701904.5739
MEM 290.890625 1724701904.6790
MEM 290.890625 1724701904.7816
MEM 290.890625 1724701904.8868
MEM 290.890625 1724701904.9919
MEM 290.921875 1724701905.0971
MEM 290.921875 1724701905.2022
MEM 290.921875 1724701905.3072
MEM 290.906250 1724701905.4123
MEM 290.906250 1724701905.5175
MEM 290.906250 1724701905.6226
MEM 290.906250 1724701905.7277
MEM 290.921875 1724701905.8310
MEM 290.921875 1724701905.9361
MEM 290.921875 1724701906.0412
MEM 290.953125 1724701906.1463
MEM 290.953125 1724701906.2514
MEM 290.953125 1724701906.3521
MEM 290.953125 1724701906.4572
MEM 290.953125 1724701906.5623
MEM 290.953125 1724701906.6674
MEM 290.968750 1724701906.7725
MEM 290.968750 1724701906.8776
MEM 290.968750 1724701906.9826
MEM 290.968750 1724701907.0877
MEM 290.968750 1724701907.1928
MEM 290.968750 1724701907.2980
MEM 290.968750 1724701907.4031
MEM 290.968750 1724701907.5082
MEM 290.968750 1724701907.6133
MEM 290.984375 1724701907.7170
MEM 290.984375 1724701907.8221
MEM 290.984375 1724701907.9272
MEM 290.984375 1724701908.0310
MEM 291.000000 1724701908.1361
MEM 291.000000 1724701908.2412
MEM 291.000000 1724701908.3463
MEM 291.000000 1724701908.4515
MEM 291.000000 1724701908.5566
MEM 291.000000 1724701908.6617
MEM 291.015625 1724701908.7668
MEM 291.015625 1724701908.8719
MEM 291.015625 1724701908.9770
MEM 294.843750 1724701909.0821
MEM 294.859375 1724701909.1873
MEM 294.859375 1724701909.2924
MEM 294.859375 1724701909.3975
MEM 294.859375 1724701909.5026
MEM 294.859375 1724701909.6078
MEM 294.859375 1724701909.7129
MEM 294.859375 1724701909.8180
MEM 294.875000 1724701909.9231
MEM 294.875000 1724701910.0283
MEM 294.875000 1724701910.1334
MEM 294.875000 1724701910.2385
MEM 294.875000 1724701910.3436
MEM 294.875000 1724701910.4488
MEM 294.875000 1724701910.5533
MEM 294.890625 1724701910.6584
MEM 294.890625 1724701910.7635
MEM 294.921875 1724701910.8686
MEM 294.921875 1724701910.9737
MEM 294.921875 1724701911.0788
MEM 294.921875 1724701911.1839
MEM 294.921875 1724701911.2890
MEM 294.921875 1724701911.3941
MEM 294.921875 1724701911.4992
MEM 294.921875 1724701911.6043
MEM 294.921875 1724701911.7094
MEM 294.921875 1724701911.8145
MEM 294.921875 1724701911.9196
MEM 294.921875 1724701912.0247
MEM 294.921875 1724701912.1299
MEM 294.937500 1724701912.2350
MEM 294.937500 1724701912.3401
MEM 294.937500 1724701912.4452
MEM 294.937500 1724701912.5503
MEM 294.937500 1724701912.6554
MEM 294.937500 1724701912.7605
MEM 294.937500 1724701912.8656
MEM 294.937500 1724701912.9708
MEM 294.937500 1724701913.0756
MEM 294.953125 1724701913.1808
MEM 294.968750 1724701913.2810
MEM 294.968750 1724701913.3861
MEM 294.984375 1724701913.4912
MEM 295.000000 1724701913.5963
MEM 295.000000 1724701913.7015
MEM 295.000000 1724701913.8066
MEM 295.000000 1724701913.9117
MEM 295.000000 1724701914.0167
MEM 295.000000 1724701914.1181
MEM 295.000000 1724701914.2232
MEM 295.000000 1724701914.3283
MEM 295.000000 1724701914.4334
MEM 295.031250 1724701914.5385
MEM 295.031250 1724701914.6437
MEM 295.031250 1724701914.7488
MEM 295.031250 1724701914.8539
MEM 296.078125 1724701914.9590
MEM 296.093750 1724701915.0621
MEM 296.093750 1724701915.1672
MEM 296.093750 1724701915.2723
MEM 296.093750 1724701915.3774
MEM 296.093750 1724701915.4826
MEM 296.093750 1724701915.5877
