CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 0.187500 1724703521.7515
MEM 35.968750 1724703521.8566
MEM 61.031250 1724703521.9618
MEM 80.296875 1724703522.0634
MEM 82.421875 1724703522.1685
MEM 86.609375 1724703522.2736
MEM 127.296875 1724703522.3787
MEM 164.890625 1724703522.4839
MEM 176.828125 1724703522.5889
MEM 186.921875 1724703522.6925
MEM 197.906250 1724703522.7976
MEM 208.031250 1724703522.9027
MEM 221.062500 1724703523.0077
MEM 225.562500 1724703523.1128
MEM 230.312500 1724703523.2132
MEM 230.312500 1724703523.3183
MEM 230.328125 1724703523.4234
MEM 232.984375 1724703523.5265
MEM 251.781250 1724703523.6316
MEM 294.265625 1724703523.7374
MEM 448.984375 1724703523.8415
MEM 605.796875 1724703523.9426
MEM 766.859375 1724703524.0454
MEM 850.484375 1724703524.1505
MEM 850.484375 1724703524.2556
MEM 850.484375 1724703524.3591
MEM 850.484375 1724703524.4642
MEM 1095.546875 1724703524.5694
MEM 1095.546875 1724703524.6747
MEM 1095.546875 1724703524.7799
MEM 1095.546875 1724703524.8852
MEM 1095.546875 1724703524.9904
MEM 1095.921875 1724703525.0938
MEM 1095.921875 1724703525.1990
MEM 1095.937500 1724703525.3044
MEM 1095.937500 1724703525.4047
MEM 651.968750 1724703525.5099
MEM 803.671875 1724703525.6150
MEM 959.828125 1724703525.7201
MEM 1097.046875 1724703525.8252
MEM 1097.046875 1724703525.9303
MEM 1097.046875 1724703526.0354
MEM 1097.046875 1724703526.1405
MEM 1097.046875 1724703526.2418
MEM 1341.203125 1724703526.3470
MEM 1341.203125 1724703526.4522
MEM 1341.203125 1724703526.5574
MEM 1341.203125 1724703526.6625
MEM 1341.203125 1724703526.7674
MEM 1341.203125 1724703526.8707
MEM 1341.203125 1724703526.9737
MEM 1341.203125 1724703527.0795
MEM 853.312500 1724703527.1846
MEM 369.531250 1724703527.2898
MEM 380.312500 1724703527.3934
MEM 393.015625 1724703527.4985
MEM 402.843750 1724703527.6036
MEM 408.312500 1724703527.7086
MEM 2577.078125 1724703527.8093
MEM 5921.953125 1724703527.9121
MEM 8221.609375 1724703528.0156
MEM 8221.609375 1724703528.1207
MEM 8221.609375 1724703528.2259
MEM 8221.578125 1724703528.3312
MEM 8183.625000 1724703528.4316
MEM 7945.640625 1724703528.5360
MEM 7945.609375 1724703528.6401
MEM 7945.609375 1724703528.7452
MEM 7945.609375 1724703528.8468
MEM 7945.593750 1724703528.9470
MEM 7936.328125 1724703529.0507
MEM 7933.062500 1724703529.1538
MEM 7933.046875 1724703529.2590
MEM 7933.328125 1724703529.3628
MEM 1127.406250 1724703529.4681
MEM 127.156250 1724703529.5705
MEM 131.531250 1724703529.6718
MEM 135.468750 1724703529.7772
MEM 158.859375 1724703529.8824
MEM 166.968750 1724703529.9875
MEM 187.437500 1724703530.0927
MEM 217.765625 1724703530.1936
MEM 256.250000 1724703530.2982
MEM 263.968750 1724703530.4034
MEM 265.031250 1724703530.5085
MEM 265.156250 1724703530.6136
MEM 268.062500 1724703530.7187
MEM 268.093750 1724703530.8238
MEM 272.968750 1724703530.9289
MEM 273.015625 1724703531.0340
MEM 273.015625 1724703531.1391
MEM 273.828125 1724703531.2413
MEM 318.812500 1724703531.3464
MEM 318.828125 1724703531.4515
MEM 318.828125 1724703531.5546
MEM 318.968750 1724703531.6598
MEM 318.984375 1724703531.7649
MEM 318.984375 1724703531.8700
MEM 318.984375 1724703531.9751
MEM 319.031250 1724703532.0803
MEM 319.078125 1724703532.1854
MEM 319.078125 1724703532.2905
MEM 319.078125 1724703532.3943
MEM 319.078125 1724703532.4995
MEM 319.078125 1724703532.6046
MEM 319.093750 1724703532.7097
MEM 319.093750 1724703532.8149
MEM 319.093750 1724703532.9199
MEM 319.093750 1724703533.0251
MEM 319.093750 1724703533.1301
MEM 319.093750 1724703533.2353
MEM 319.109375 1724703533.3403
MEM 319.125000 1724703533.4455
MEM 319.125000 1724703533.5506
MEM 319.125000 1724703533.6527
MEM 319.140625 1724703533.7578
MEM 319.156250 1724703533.8629
MEM 319.171875 1724703533.9680
MEM 319.187500 1724703534.0731
MEM 319.203125 1724703534.1747
MEM 323.046875 1724703534.2769
MEM 323.046875 1724703534.3820
MEM 323.046875 1724703534.4872
MEM 324.031250 1724703534.5923
MEM 324.031250 1724703534.6974
MEM 327.906250 1724703534.8025
MEM 327.906250 1724703534.9076
MEM 327.906250 1724703535.0083
MEM 327.921875 1724703535.1134
MEM 327.921875 1724703535.2185
MEM 327.937500 1724703535.3236
MEM 327.953125 1724703535.4287
MEM 327.968750 1724703535.5338
MEM 327.984375 1724703535.6389
MEM 328.000000 1724703535.7427
MEM 328.031250 1724703535.8478
MEM 328.046875 1724703535.9523
MEM 328.046875 1724703536.0575
MEM 328.046875 1724703536.1626
MEM 328.046875 1724703536.2677
MEM 328.046875 1724703536.3729
MEM 328.046875 1724703536.4780
MEM 328.046875 1724703536.5799
MEM 328.062500 1724703536.6850
MEM 328.062500 1724703536.7901
MEM 328.062500 1724703536.8952
MEM 328.062500 1724703537.0004
MEM 328.078125 1724703537.1055
MEM 328.078125 1724703537.2094
MEM 328.078125 1724703537.3145
MEM 328.078125 1724703537.4196
MEM 328.078125 1724703537.5247
MEM 328.078125 1724703537.6298
MEM 328.093750 1724703537.7350
MEM 328.093750 1724703537.8401
MEM 328.093750 1724703537.9414
MEM 328.140625 1724703538.0465
MEM 328.140625 1724703538.1516
MEM 328.156250 1724703538.2533
MEM 328.156250 1724703538.3585
MEM 328.156250 1724703538.4636
MEM 328.156250 1724703538.5687
MEM 328.156250 1724703538.6738
MEM 328.156250 1724703538.7789
MEM 328.156250 1724703538.8840
MEM 328.156250 1724703538.9891
MEM 328.156250 1724703539.0942
MEM 328.156250 1724703539.1994
MEM 332.109375 1724703539.3045
MEM 332.140625 1724703539.4094
MEM 332.140625 1724703539.5145
MEM 332.140625 1724703539.6196
MEM 332.140625 1724703539.7247
MEM 332.140625 1724703539.8299
MEM 332.156250 1724703539.9350
MEM 332.156250 1724703540.0401
MEM 332.156250 1724703540.1452
MEM 332.156250 1724703540.2504
MEM 332.156250 1724703540.3555
MEM 332.171875 1724703540.4606
MEM 332.171875 1724703540.5657
MEM 332.171875 1724703540.6709
MEM 332.171875 1724703540.7760
MEM 332.171875 1724703540.8811
MEM 332.171875 1724703540.9862
MEM 332.171875 1724703541.0914
MEM 332.171875 1724703541.1922
MEM 332.187500 1724703541.2973
MEM 332.187500 1724703541.4024
MEM 332.187500 1724703541.5075
MEM 332.187500 1724703541.6126
MEM 332.187500 1724703541.7177
MEM 332.187500 1724703541.8228
MEM 332.187500 1724703541.9279
MEM 332.203125 1724703542.0330
MEM 332.218750 1724703542.1381
MEM 332.218750 1724703542.2427
MEM 332.218750 1724703542.3478
MEM 332.234375 1724703542.4530
MEM 332.234375 1724703542.5581
MEM 332.234375 1724703542.6632
MEM 332.234375 1724703542.7683
MEM 332.234375 1724703542.8734
MEM 332.234375 1724703542.9785
MEM 332.234375 1724703543.0837
MEM 332.234375 1724703543.1888
MEM 332.250000 1724703543.2940
MEM 332.265625 1724703543.3947
MEM 332.265625 1724703543.4998
MEM 332.265625 1724703543.6049
MEM 332.281250 1724703543.7100
MEM 332.281250 1724703543.8152
MEM 332.281250 1724703543.9203
MEM 332.281250 1724703544.0254
MEM 332.312500 1724703544.1305
MEM 332.312500 1724703544.2357
MEM 332.312500 1724703544.3408
MEM 332.312500 1724703544.4459
MEM 332.312500 1724703544.5501
MEM 332.312500 1724703544.6552
MEM 332.359375 1724703544.7595
MEM 332.359375 1724703544.8646
MEM 332.359375 1724703544.9697
MEM 332.359375 1724703545.0748
MEM 332.359375 1724703545.1799
MEM 332.359375 1724703545.2850
MEM 332.359375 1724703545.3901
MEM 332.359375 1724703545.4952
MEM 332.359375 1724703545.6003
MEM 332.359375 1724703545.7054
MEM 332.390625 1724703545.8105
MEM 332.390625 1724703545.9156
MEM 332.406250 1724703546.0207
MEM 332.406250 1724703546.1259
MEM 332.421875 1724703546.2310
MEM 332.421875 1724703546.3361
MEM 332.421875 1724703546.4412
MEM 332.421875 1724703546.5415
MEM 332.421875 1724703546.6466
MEM 332.421875 1724703546.7517
MEM 332.421875 1724703546.8568
MEM 332.421875 1724703546.9620
MEM 332.421875 1724703547.0671
MEM 332.421875 1724703547.1722
MEM 332.421875 1724703547.2773
