CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 370.671875 1724702716.8065
MEM 370.671875 1724702716.9116
MEM 370.671875 1724702717.0167
MEM 370.687500 1724702717.1218
MEM 370.687500 1724702717.2269
MEM 370.687500 1724702717.3320
MEM 370.687500 1724702717.4371
MEM 370.703125 1724702717.5422
MEM 370.703125 1724702717.6474
MEM 370.703125 1724702717.7525
MEM 370.703125 1724702717.8576
MEM 370.703125 1724702717.9627
MEM 370.718750 1724702718.0678
MEM 370.718750 1724702718.1729
MEM 370.734375 1724702718.2780
MEM 370.734375 1724702718.3831
MEM 370.750000 1724702718.4882
MEM 370.750000 1724702718.5934
MEM 370.750000 1724702718.6985
MEM 370.765625 1724702718.8036
MEM 370.765625 1724702718.9087
MEM 370.765625 1724702719.0138
MEM 370.765625 1724702719.1189
MEM 370.765625 1724702719.2241
MEM 370.765625 1724702719.3292
MEM 370.765625 1724702719.4343
MEM 370.765625 1724702719.5395
MEM 370.765625 1724702719.6446
MEM 370.781250 1724702719.7497
MEM 370.812500 1724702719.8548
MEM 370.812500 1724702719.9599
MEM 370.812500 1724702720.0651
MEM 370.812500 1724702720.1702
MEM 370.812500 1724702720.2751
MEM 370.812500 1724702720.3802
MEM 370.812500 1724702720.4853
MEM 370.812500 1724702720.5905
MEM 370.812500 1724702720.6948
MEM 370.812500 1724702720.8000
MEM 370.828125 1724702720.9051
MEM 370.843750 1724702721.0102
MEM 370.843750 1724702721.1153
MEM 370.859375 1724702721.2204
MEM 370.859375 1724702721.3255
MEM 370.859375 1724702721.4306
MEM 370.859375 1724702721.5323
MEM 370.859375 1724702721.6374
MEM 370.859375 1724702721.7425
MEM 370.859375 1724702721.8476
MEM 370.875000 1724702721.9527
MEM 370.875000 1724702722.0578
MEM 370.890625 1724702722.1629
MEM 370.890625 1724702722.2680
MEM 370.890625 1724702722.3731
MEM 370.890625 1724702722.4782
MEM 371.203125 1724702722.5833
MEM 371.906250 1724702722.6885
MEM 371.906250 1724702722.7918
MEM 371.906250 1724702722.8969
MEM 371.921875 1724702723.0020
MEM 371.921875 1724702723.1071
MEM 371.921875 1724702723.2122
MEM 371.921875 1724702723.3174
MEM 371.921875 1724702723.4225
MEM 371.921875 1724702723.5236
MEM 371.921875 1724702723.6251
MEM 371.921875 1724702723.7302
MEM 371.921875 1724702723.8326
MEM 371.921875 1724702723.9377
MEM 371.937500 1724702724.0429
MEM 371.937500 1724702724.1480
MEM 371.937500 1724702724.2519
MEM 371.937500 1724702724.3571
MEM 371.953125 1724702724.4622
MEM 371.953125 1724702724.5630
MEM 371.953125 1724702724.6681
MEM 371.953125 1724702724.7732
MEM 371.953125 1724702724.8784
MEM 371.953125 1724702724.9835
MEM 371.953125 1724702725.0886
MEM 371.953125 1724702725.1938
MEM 371.968750 1724702725.2989
MEM 372.000000 1724702725.4040
MEM 372.015625 1724702725.5091
MEM 372.015625 1724702725.6138
MEM 376.812500 1724702725.7189
MEM 376.812500 1724702725.8240
MEM 376.828125 1724702725.9291
MEM 376.828125 1724702726.0342
MEM 376.828125 1724702726.1393
MEM 376.828125 1724702726.2444
MEM 376.828125 1724702726.3495
MEM 376.828125 1724702726.4546
MEM 376.843750 1724702726.5597
MEM 376.843750 1724702726.6649
MEM 376.843750 1724702726.7700
MEM 376.843750 1724702726.8751
MEM 376.843750 1724702726.9802
MEM 376.859375 1724702727.0826
MEM 376.859375 1724702727.1877
MEM 376.859375 1724702727.2918
MEM 376.875000 1724702727.3969
MEM 376.875000 1724702727.5020
MEM 376.875000 1724702727.6072
MEM 376.875000 1724702727.7123
MEM 376.890625 1724702727.8174
MEM 376.890625 1724702727.9225
MEM 376.890625 1724702728.0277
MEM 376.890625 1724702728.1284
MEM 376.890625 1724702728.2336
MEM 376.890625 1724702728.3387
MEM 376.890625 1724702728.4438
MEM 376.890625 1724702728.5489
MEM 376.890625 1724702728.6540
MEM 376.890625 1724702728.7585
MEM 376.890625 1724702728.8636
MEM 376.890625 1724702728.9642
MEM 376.890625 1724702729.0693
MEM 376.890625 1724702729.1744
MEM 376.890625 1724702729.2795
MEM 376.906250 1724702729.3828
MEM 376.906250 1724702729.4879
